base_salary_max,base_salary_min,requirements,responsibilities,title,region,salary_mean
0.0,0.0,"Требования:1. Законченное высшее профильное образование 2. Опыт руководящей работы от 3 лет3. Профессиональное владение 1С УППФункции: руководство отделом,работа с серверами, настройка, обновление, администрирование стандартных и нетиповых конфигураций на базе 1С. Доработка конфигураций. Создание/доработка внешних обработок/отчетов.Опыт работы на большом предприятии не менее 2 лет. Умение работать с пользователями. Знание платформы 1С, серверов","Организация работы отдела информационных технологий в ходе проектирования, разработки, внедрения и развития программно- аппаратных комплексов информационной системы Организации.  Обеспечение внедрения современных программных и аппаратных комплексов информационных систем Организации, осуществление надзора за выполнением работ.  Планирование и обоснование затрат на проектирование, пуско-наладку оборудования, разработку и внедрение программных и аппаратных комплексов обработки информации и хранения данных.  Осуществление надзора за соблюдением внутренних стандартов Организации, обеспечением единого подхода к обработке информации и хранению данных, построением технической инфраструктуры, обслуживанием вычислительной техники и обеспечением информационной безопасности.  Контроль закупки технических средств и программного обеспечения для нужд Организации, осуществлять проработку предложений поставщиков, контроль качества, объема и сроков выполняемых работ и поставок оборудования.  Обеспечение выполнения организационных, методических и технических мероприятий по защите информации. Осуществление контроля за формированием политики информационной безопасности.  Обеспечение сохранности конфиденциальной информации, составляющей служебную и коммерческую тайны Организации",Начальник отдела информационных технологий,Амурская область,0.0
20000.0,20000.0,"Требуется мужчина. Справка об отсутствии судимости.Безотлучно находится на объекте в течение всего времени дежурства  Совместно со сменяемым работником проверяет целостность охраняемых объектов, замков, телефона, освещения, наличия и исправности противопожарного инвентаря  При выявлении неисправности или нарушении замков, сигнализации, освещения, водопровода, канализации, теплоснабжения незамедлительно докладывать директору школы или завхозу. Оформляет прием и сдачу дежурства соответствующей записью в журнале, делает отметки и замечания в книге пожарной безопасности  Во время дежурства в школе, не допускает прохождения в школу посторонних лиц  Содержит отведенное ему служебное помещение в надлежащем санитарном состоянии  В случае неприбытия смены в установленное время сообщает об этом завхозу и остается на объекте до соответствующего распоряжения. Следить за видеонаблюдением","Безотлучно находится на объекте в течение всего времени дежурства  Совместно со сменяемым работником проверяет целостность охраняемых объектов, замков, телефона, освещения, наличия и исправности противопожарного инвентаря  При выявлении неисправности или нарушении замков, сигнализации, освещения, водопровода, канализации, теплоснабжения незамедлительно докладывать директору школы или завхозу.Оформляет прием и сдачу дежурства соответствующей записью в журнале, делает отметки и замечания в книге пожарной безопасности  Во время дежурства в школе, не допускает прохождения в школу посторонних лиц  Содержит отведенное ему служебное помещение в надлежащем санитарном состоянии  В случае неприбытия смены в установленное время сообщает об этом завхозу и остается на объекте до соответствующего распоряжения. Следить за видеонаблюдением",Сторож (вахтер),Омская область,20000.0
60000.0,60000.0,"Осуществляет руководство производственно-хозяйственной деятельностью участка. Обеспечивает выполнение производственных заданий по вводу объектов в эксплуатацию в установленные сроки и выполнению строительно-монтажных и пусконаладочных работ по всем количественным и качественным показателям с соблюдением проектов производства работ.Организует производство строительно-монтажных работ в соответствии с проектной документацией, строительными нормами и правилами, техническими условиями и другими нормативными документами.Обеспечивает соблюдение технологической последовательности производства строительно-монтажных работ на участке. Осуществляет мероприятия по повышению уровня механизации работ, внедрению новой техники, совершенствованию организации труда, снижению стоимости строительно-монтажных и пусконаладочных работ, экономному расходованию материалов","Осуществляет руководство производственно-хозяйственной деятельностью участка. Обеспечивает выполнение производственных заданий по вводу объектов в эксплуатацию в установленные сроки и выполнению строительно-монтажных и пусконаладочных работ по всем количественным и качественным показателям с соблюдением проектов производства работ.Организует производство строительно-монтажных работ в соответствии с проектной документацией, строительными нормами и правилами, техническими условиями и другими нормативными документами.Обеспечивает соблюдение технологической последовательности производства строительно-монтажных работ на участке. Осуществляет мероприятия по повышению уровня механизации работ, внедрению новой техники, совершенствованию организации труда, снижению стоимости строительно-монтажных и пусконаладочных работ, экономному расходованию материалов",Производитель работ (прораб) (в строительстве),Ямало-Ненецкий автономный округ,60000.0
17000.0,17000.0,"должен знать:а) специальные (профессиональные) знания:— ассортимент, рецептуры, технологию приготовления ограниченного ассортимента алкогольных и безалкогольных напитков, холодных и горячих блюд и закусок — ассортимент реализуемых в барах готовых к потреблению напитков, кондитерских изделий, их товароведные характеристики, правила отпуска, способы и правила выкладки на барной стойке и витрине — технику ценообразования на напитки, холодные и горячие блюда и закуски — правила этикета и технику обслуживания посетителей в барах второй и первой категории — правила расчета с потребителями — принцип работы и правила эксплуатации применяемого в барах оборудования и музыкальной аппаратуры — правила ведения учета и составления товарного отчета, сдачи денег и чеков б) общие знания работника организации:— правила и нормы охраны труда, техники безопасности, производственной санитарии и противопожарной защиты,— правила пользования средствами индивид","Обслуживание посетителей за барной стойкой готовыми к потреблению безалкогольными и слабоалкогольными напитками (пиво, фруктовые и минеральные воды), кондитерскими изделиями с приготовлением ограниченного ассортимента алкогольных и безалкогольных напитков, холодных и горячих блюд и закусок и соблюдением правил подачи.— Получение напитков, продуктов и продукции и хранение их с учетом требуемого режима и правил.— Оформление витрины и барной стойки, содержание их в образцовом состоянии.— Эксплуатация и обслуживание музыкальной аппаратуры (проигрывателей, моно- и стереомагнитофонов или музыкальных автоматов).— Контроль за соблюдением посетителями культуры поведения.— Ведение необходимого учета, составление и сдача товарного отчета.— Сдача наличных денег, чеков",Официант,Астраханская область,17000.0
30000.0,20000.0,"Проводить ветеринарные мероприятия по предупреждению заболеваний и падежа животных.Соблюдать выполнение зоогигиенических и ветеринарных правил при содержании, кормлении животных и уходе за ними.Проводить осмотр животных и диагностирование их болезней и повреждений.Осуществлять исследование причин возникновения, процессов протекания болезней животных, разработку методов их лечения и профилактики.Осуществлять терапевтическое и хирургическое лечение животных.Применять лекарственные средства при лечении животных, высокоэффективные ветеринарные препараты и методы ветеринарного воздействия.Проводить ветеринарно-санитарную экспертизу скота и птицы.Давать консультации по вопросам лечения и воспроизводства животных, соответствующего содержания и кормления животных согласно зоогигиеническим требованиям.Выполнять родственные по содержанию обязанности","Проводить ветеринарные мероприятия по предупреждению заболеваний и падежа животных.Соблюдать выполнение зоогигиенических и ветеринарных правил при содержании, кормлении животных и уходе за ними.Проводить осмотр животных и диагностирование их болезней и повреждений.Осуществлять исследование причин возникновения, процессов протекания болезней животных, разработку методов их лечения и профилактики.Осуществлять терапевтическое и хирургическое лечение животных.Применять лекарственные средства при лечении животных, высокоэффективные ветеринарные препараты и методы ветеринарного воздействия.Проводить ветеринарно-санитарную экспертизу скота и птицы.Давать консультации по вопросам лечения и воспроизводства животных, соответствующего содержания и кормления животных согласно зоогигиеническим требованиям.Выполнять родственные по содержанию обязанности",Ветеринарный врач,Тюменская область,25000.0
,15953.0,"Водитель школьного автобуса должен знать: – правила дорожного движения, штрафные санкции за их нарушение  – основные технические характеристики и общее устройство автобуса, показания приборов и счетчиков, элементы управления (предназначение клавиш, кнопок, рукояток и т.д.)  – порядок установки и снятия систем сигнализации, характер и условия их срабатывания  – правила содержания автомобиля, ухода за кузовом и салоном, поддержания их в чистоте и благоприятном для длительной эксплуатации состоянии (не мыть автобус на прямых солнечных лучах, не мыть горячей водой зимой, своевременно наносить защитные лосьоны, моющие жидкости и др.)","Обеспечивать профессиональное вождение автобуса, максимально обеспечивающее сохранность жизни и здоровья пассажиров и технически исправное состояние самого автобуса  не применять без крайней необходимости звуковые сигналы и обгоны впереди идущих автомобилей  предвидеть любую дорожную обстановку  выбирать скорость движения и дистанцию, исключающие возникновение аварийной ситуации.3.2. Перед выездом проверить и в пути обеспечить исправное техническое состояние транспортного средства. При возникновении в пути неисправностей, с которыми запрещена эксплуатация транспортных средств, должен устранить их, а если это невозможно, то следовать к месту стоянки или ремонта с соблюдением необходимых мер предосторожности.3.3. Ежедневно перед выходом в рейс проходить медицинское освидетельствование с отметкой в путевом листе.3.4. При перевозке детей устанавливать на транспортном средстве спереди и сзади опознавательные знаки «Дети».3.5. Перед началом перевозки детей убедиться в наличии сопровождающих взрослых у каждой из дверей транспортного средства",Водитель автомобиля,Волгоградская область,
16000.0,14000.0,"Приветствуется наличие у кандидатов специального курсового обучения, стажа работы в Государственной противопожарной службе, проживание на территории Березовского городского округа. Кандидат должен уметь пользоваться компьютером (офисные программы Word, Excel), переферийными устройствами (факс, принтер, сканер) и радиостанциями","Начальник караула пожарной части обязан: Выезжать на тушение пожаров и проведение аварийно-спасательных работ.  Обобщает и анализирует оперативную обстановку в районе (подрайоне) выезда пожарной части ГКПТУ СО ""ОПС Свердловской области № 16"" .  Осуществляет прием и отработку сообщений о пожаре (вызове) по телефонным линиям связи или другим способом.  Осуществляет высылку к месту пожара (вызова) сил и средств подразделения в соответствии с расписанием выезда пожарной охраны, для тушения пожаров и проведения аварийно-спасательных работ.  Обобщает сведения о наличии сил и средств подразделения, готовит строевую записку (по установленной форме) и передает информацию на ЦППС местного пожарно-спасательного гарнизона пожарной охраны.  В установленное время проверяет наличие связи с ЦППС, наличие связи с службами жизнеобеспечения.  Информирует начальника отдельного поста о выезде подразделения.  Доводит до личного состава информацию и распоряжения начальника пожарной части и контролирует их исполнение.  Ведет служебную документацию пункта связи подразделения, контролирует правильность ведения радиообмена.  После возвращения с места вызова готовит и передает на ЦППС оперативную информацию о пожарах и ЧС.  Осуществляет контроль за одним из закрепленных направлений оперативно - служебной деятельности (в восьмичасовом режиме)",Пожарный пожарной части № 16/9,Свердловская область,15000.0
15964.0,13736.0,"знать и уметь применять в пределах занимаемой должности и профессии следующие документы:а) соответствующие главы и разделы ПУЭ, ПТЭ, МПОТ, ПЭЭП б) нормы испытаний электрооборудования в) правила применения и испытания средств защиты, используемых в электроустановках г) настоящую инструкцию д) инструкции по эксплуатации испытательного и измерительного оборудования лаборатории е) инструкцию по тушению пожаров в электроустановкахж) методики ведения испытаний и измерений.- иметь квалификационную группу по ТБ не ниже 111 - в случае привлечения к работам на высоте (верхолазным работам) должен иметь медицинское заключение на право выполнения этих работ, пройти специальное обучение и получить удостоверение – рабочий люльки подъемника (вышки) -знать элементарные сведения по электротехнике - уметь практически выполнять измерения и испытания на электротехническом оборудовании - знать схемы электрические принципиальные передвижных- знать правила п","-Осуществлять проведение на электростанциях и в электрических сетях под руководством электромонтера более высокой квалификации испытаний и измерений параметров электрооборудования до 220 кВ -Осуществлять испытания повышенным приложенным напряжением защитных средств и приспособлений -Осуществлять измерения сопротивления изоляции, переходного сопротивления, сопротивления контуров заземления -Осуществлять определение мест повреждения кабельных линий -Осуществлять техническое обслуживание аппаратуры применяемой при испытаниях и измерениях -Осуществлять подготовку рабочих мест для испытаний и измерений -Уметь освободить пострадавшего от действия электрического тока и оказать ему первую доврачебную помощь",Электромонтер по испытаниям и измерениям,Саратовская область,14850.0
25000.0,20000.0,"Бухгалтер должен знать:- Законодательные акты, постановления, распоряжения, приказы, другие руководящие, методические и нормативные материалы по организации бухгалтерского учета имущества, обязательств и хозяйственных операций и составлению отчетности.- Формы и методы бухгалтерского учета на предприятии. План и корреспонденцию счетов. Организацию документооборота по участкам бухгалтерского учета. Порядок документального оформления и отражения на счетах бухгалтерского учета операций, связанных с движением основных средств, товарно-материальных ценностей и денежных средств.-Методы экономического анализа хозяйственно-финансовой деятельности предприятия","Выполняет работу по ведению бухгалтерского учета имущества, обязательств и хозяйственных операций (учет основных средств, товарно-материальных ценностей, затрат на производство, реализации продукции, результатов хозяйственно-финансовой деятельности  расчеты с поставщиками и заказчиками, за предоставленные услуги и т.п.).2. Участвует в разработке и осуществлении мероприятий, направленных на соблюдение финансовой дисциплины и рациональное использование ресурсов.3. Осуществляет прием и контроль первичной документации по соответствующим участкам бухгалтерского учета и подготавливает их к счетной обработке.4. Отражает на счетах бухгалтерского учета операции, связанные с движением основных средств, товарно-материальных ценностей и денежных средств.5. Составляет отчетные калькуляции себестоимости продукции (работ, услуг), выявляет источники образования потерь и непроиВедение учета материалов, товаров, составление авансовых отчетов, составление отчетов в отдел Статистики, кадровая работа и др",Старший бухгалтер,Смоленская область,22500.0
0.0,16000.0,"действующий сертификат ""Сестринское дело"" цикл ""Медицинские сестры процедурных и прививочных кабинетов""","Правильная организация работы кабинета и выполнение назначенных про цедур в строгом соответствии ОСТа 42-21-2-85 и приказа МЗРФ N408. start=""2"" Начинать работу только после подготовки кабинета к выполнению проце дур, тщательной подготовки инструментария  Выполнять манипуляции только по назначению врача с отметкой о выпол ненной процедуре в листе назначения  Соблюдать последовательность выполнения процедур в соответствии с по часовым графиком работы  Строго соблюдать требования асептики и антисептики при выполнении про цедур  В течении работы поддерживать надлежащий порядок, соответствующую культуру работы и санитарное состояние рабочего места  Немедленно извещать врача об осложнениях, связанных с производством манипуляций и проведением процедур в кабинете. Владеть методами оказа ния неотложной помощи  Качественно вести документацию процедурного кабинета  Своевременно пополнять кабинет необходимым количеством инструмента рия, медикаментов.  Осуществлять ежедневный контроль за наличием необходимого количества лекарственных препаратов для оказания экстренной помощи  Своевременно вносить изменения в инструкции по санитарно-эпидемиологическому режиму. Проводить замену пришедшего в негодность мед.оборудования, инструментария  Обеспечить правильные условия хранения лекарственных препаратов.  Ежеквартально сдавать главной медсестре поликлиники зачет на знание ОСТа 42-21-2-85 и приказа МЗРФ N408 ""О мерах по снижению заболеваемостью вирус ным гепатитом"", не допускать ошибок в теоретической трактовке и в прак тическом исполнении приказа",медицинская сестра прививочного кабинета,Воронежская область,8000.0
,20000.0,"Врач-терапевт должен знать: - Конституцию Российской Федерации  - законы и иные нормативные правовые акты Российской Федерации в сфере здравоохранения  - основные положения Основ законодательства Российской Федерации об охране здоровья граждан, законодательства об обязательном медицинском страховании, о территориальной программе государственных гарантий бесплатной медицинской помощи (виды медицинской помощи, предоставляемой населению бесплатно, медицинской помощи, предоставляемой в рамках территориальной программы обязательного медицинского страхования, медицинской помощи, предоставляемой за счет средств бюджетов всех уровней)  - принципы организации терапевтической помощи в Российской Федерации, работу больнично-поликлинических учреждений, организацию работы скорой и неотложной помощи взрослому и детскому населению","Получает информацию о заболевании. Применяет объективные методы обследования больного. Выявляет общие и специфические признаки заболевания. Выполняет перечень работ и услуг для диагностики заболевания, оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. Определяет показания для госпитализации и организует ее. Проводит дифференциальную диагностику. Обосновывает клинический диагноз, план и тактику ведения больного. Определяет степень нарушения гомеостаза и выполняет все мероприятия по его нормализации. Выполняет перечень работ и услуг для лечения заболевания, состояния, клинической ситуации в соответствии со стандартом медицинской помощи. Выявляет факторы риска развития хронических неинфекционных заболеваний. Осуществляет первичную профилактику в группах высокого риска",Врач-терапевт участковый,Пензенская область,
80000.0,60000.0,"•Знать стандарты в области проектирования автоматизированных систем и подготовки документации •Знать этапы разработки программного обеспечения (ПО), роли и основные обязанности участников процесса на разных этапах разработки •Знать методологии разработки ПО: Agile, Waterfall •Знать технологии разработки ПО (подходы к разработке ПО): MSF или RUP •Владеть основными понятиями в области реляционных баз данных и базовых конструкций PL/SQL •Владеть навыками разработки ПОс использованием, но, не ограничиваясь С/С++, SQL, Python, Ruby.•Уметь читать диаграммы UML 2.0 и описания бизнес-процессов в нотации BPMN •Иметь представление о назначении и основных особенностях типовых элементов ИТ инфраструктуры оператора связи и смежных отраслей ","Программно реализует компоненты продукта, составляющих её ядро, и выполняет разработку кодов с использованием, но, не ограничиваясь С, SQL, Python, Ruby. Функции компонентов ядра заключаются, но не ограничиваются следующим списком: захват, фильтрация, перенаправление, расшифровка и декодирование сетевых пакетов, их анализ и нахождение взаимосвязей между ними, а также подсчёт статистики на основании данных полученных в процессе их анализа. Разрабатывает на основе анализа математических моделей и алгоритмов решения задач программы, обеспечивающие возможность выполнения алгоритма и соответственно поставленной задачи средствами вычислительной техники, проводит их тестирование и отладку. Разрабатывает технологию решения задачи по всем этапам обработки информации. Осуществляет выбор языка программирования для описания алгоритмов и структур данных. При этом следует учитывать сложившуюся практику",Программист высшей категории (класса),Новосибирская область,70000.0
150000.0,80000.0,"Высшее профессиональное образование по одной из специальностей ""Лечебное дело"" или ""Педиатрия"", послевузовское профессиональное образование (ординатура) по специальности ""Лечебная физкультура и спортивная медицина"" или профессиональная переподготовка по специальности ""Лечебная физкультура и спортивная медицина"" при наличии послевузовского профессионального образования по одной из специальностей: ""Неврология"", ""Общая врачебная практика (семейная медицина)"", ""Педиатрия"", ""Скорая медицинская помощь"", ""Терапия"", ""Травматология и ортопедия"", сертификат специалиста по специальности ""Лечебная физкультура и спортивная медицина"" ","Осуществляет комплексное углубленное медицинское обследование и диспансеризацию спортсменов и лиц, занимающихся физической культурой  врачебное наблюдение за спортсменами-инвалидами, женщинами-спортсменами, при отборе юных спортсменов с учетом возрастных сроков допуска к занятиям по видам спорта и к соревнованиям  на уроках физкультуры, тренировках спортсменов, занятиях физкультурой в оздоровительных группах, в т.ч. лиц с отклонениями в состоянии здоровья  медико-биологическое обеспечение спортсменов в условиях учебно-тренировочных сборов и соревнований (профилактика и лечение болезней и травм, контроль за функциональным состоянием и питанием, антидопинговый контроль). Выявляет группу риска для занятий физкультурой и спортом. Оценивает физическое развитие, результаты антропометрических измерений, состояние костной и мышечной систем  нарушения осанки у детей и подростков, занимающихся физкультурой и спортом. Выполняет функциональные пробы с физической нагрузкой, ортостатическую пробу, д",Врач по спортивной медицине,Ямало-Ненецкий автономный округ,115000.0
33550.0,33550.0,"Наличие высшего образования и сертификата. Возможен прием граждан имеющих инвалидность. Должен знать: законы Российской Федерации и иные нормативно-правовые акты, регламентирующие деятельность учреждений здравоохранения действующие нормативно - методические документы, регламентирующие деятельность медицинских учреждений методы и правила оказания лекарственной и неотложной медицинской помощи содержание неврологии как отдельной клинической дисциплины организацию, структуру, задачи, штаты и оснащение неврологической службы порядок проведения экспертизы по временной нетрудоспособности, а также медико-социальной экспертизы","Выявляет и осуществляет мониторинг факторов риска развития хронических неинфекционных заболеваний. Осуществляет первичную профилактику в группах высокого риска. Выполняет перечень работ и услуг для диагностики заболевания, оценки состояния больного и клинической ситуации в соответствии со стандартом медицинской помощи. Выполняет перечень работ и услуг для лечения заболевания, состояния, клинической ситуации в соответствии со стандартом медицинской помощи. Оказывает симптоматическую помощь онкологическим больным IV клинической группы при взаимодействии с врачом-онкологом. Осуществляет экспертизу временной нетрудоспособности больных, представление на врачебную комиссию, направление пациентов с признаками стойкой утраты трудоспособности для освидетельствования на медико-социальную экспертизу. Выдает заключения о необходимости направления пациента по медицинским показаниям на санаторно-курортное лечение, оформляет санаторно-курортную карту. Осуществляет организационно-методическую и практи",Врач-терапевт,Самарская область,33550.0
